Country,Continent,iso_code,Sub Region,total_cases,total_deaths
Mongolia,Asia,MNG,Eastern Asia,136,0
Montenegro,Europe,MNE,Southern Europe,324,9
Montserrat,Americas,MSR,Caribbean,11,1
Morocco,Africa,MAR,Northern Africa,6741,192
Mozambique,Africa,MOZ,Eastern Africa,129,0
Myanmar,Asia,MMR,South-Eastern Asia,182,6
Namibia,Africa,NAM,Southern Africa,16,0
Nepal,Asia,NPL,Southern Asia,291,1
Netherlands,Europe,NLD,Western Europe,43870,5670
New Caledonia,Oceania,NCL,Melanesia,18,0
New Zealand,Oceania,NZL,Australia and New Zealand,1149,21
Nicaragua,Americas,NIC,Central America,25,8
Niger,Africa,NER,Western Africa,889,51
Nigeria,Africa,NGA,Western Africa,5621,176
Northern Mariana Islands,Oceania,MNP,Micronesia,21,2
Norway,Europe,NOR,Northern Europe,8197,232
Oman,Asia,OMN,Western Asia,5029,21
Pakistan,Asia,PAK,Southern Asia,40151,873
Palestine,Asia,PSE,Western Asia,554,4
Panama,Americas,PAN,Central America,9449,269
Papua New Guinea,Oceania,PNG,Melanesia,8,0
Paraguay,Americas,PRY,South America,778,11
Peru,Americas,PER,South America,88541,2523
Philippines,Asia,PHL,South-Eastern Asia,12305,817
Poland,Europe,POL,Eastern Europe,18257,915
Portugal,Europe,PRT,Southern Europe,28810,1203
Puerto Rico,Americas,PRI,Caribbean,2589,122
Qatar,Asia,QAT,Western Asia,30972,15
Romania,Europe,ROU,Eastern Europe,16704,1081
Russia,Europe,RUS,Eastern Europe,272043,2537
Rwanda,Africa,RWA,Eastern Africa,289,0
Saint Kitts and Nevis,Americas,KNA,Caribbean,15,0
Saint Lucia,Americas,LCA,Caribbean,18,0
Saint Vincent and the Grenadines,Americas,VCT,Caribbean,17,0
San Marino,Europe,SMR,Southern Europe,653,41
Sao Tome and Principe,Africa,STP,Middle Africa,235,7
Saudi Arabia,Asia,SAU,Western Asia,52016,302
Senegal,Africa,SEN,Western Africa,2429,25
Serbia,Europe,SRB,Southern Europe,10496,228
Seychelles,Africa,SYC,Eastern Africa,11,0
Sierra Leone,Africa,SLE,Western Africa,462,29
